               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10709,            0.023882,                   0,            0.030443,                 0.1,           0.0073967,           0.0010037,             0.05574,            0.021812,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11235,            0.024932,                   0,            0.018144,                 0.1,            0.014552,           0.0020748,            0.047486,            0.021829,                   0,            0.093697,          0.00069653,          0.00069653
                   2,              0.1003,             0.02699,                   0,            0.018271,             0.23333,            0.024256,           0.0046777,            0.037524,            0.021403,                   0,            0.090089,           0.0010891,           0.0010891
                   3,            0.079354,            0.030041,                   0,            0.019235,             0.33333,            0.059069,            0.010967,            0.032937,            0.018905,                   0,            0.086478,           0.0014777,           0.0014777
                   4,            0.071163,            0.029466,                   0,             0.24664,                0.05,             0.13407,            0.030763,            0.026881,            0.019312,                   0,            0.082862,           0.0018624,           0.0018624
                   5,            0.059435,            0.027753,                   0,             0.54047,                 0.5,             0.37483,             0.12406,            0.025929,            0.018127,                   0,            0.079243,           0.0022431,           0.0022431
                   6,            0.057385,            0.026585,                   0,             0.47325,                0.75,             0.39822,             0.15357,            0.025902,            0.016107,                   0,             0.07562,           0.0026198,           0.0026198
                   7,            0.063035,            0.025226,                   0,             0.64072,             0.83224,             0.82781,             0.41794,            0.034253,            0.014203,                   0,            0.071993,           0.0029926,           0.0029926
                   8,             0.05418,            0.020665,                   0,             0.66623,             0.89826,              0.7177,              0.3257,            0.044754,             0.01326,                   0,            0.068361,           0.0033614,           0.0033614
                   9,            0.056053,            0.018541,                   0,             0.99175,                   1,               0.995,             0.51802,            0.038109,             0.01292,                   0,            0.064726,           0.0037263,           0.0037263
                  10,            0.079826,            0.019797,                   0,             0.44444,             0.71667,             0.48976,            0.084415,            0.047641,            0.013668,                   0,            0.061087,           0.0040871,           0.0040871
                  11,            0.057999,             0.01655,                   0,              0.8315,             0.98696,             0.96244,             0.20383,            0.047968,            0.012403,                   0,            0.057444,           0.0044441,           0.0044441
                  12,            0.067859,            0.017466,                   0,             0.99549,                   1,               0.995,             0.34506,            0.030169,            0.010491,                   0,            0.053797,           0.0047971,           0.0047971
                  13,            0.060051,            0.018136,                   0,             0.71062,             0.98333,             0.88349,             0.67183,            0.035839,           0.0098862,                   0,            0.050146,           0.0051461,           0.0051461
                  14,            0.056038,            0.018623,                   0,             0.82385,             0.93543,             0.97504,             0.55123,            0.036469,           0.0085858,                   0,            0.046491,           0.0054911,           0.0054911
                  15,            0.061997,            0.017608,                   0,             0.56829,             0.76667,             0.60151,             0.14106,            0.036386,           0.0087721,                   0,            0.042832,           0.0058322,           0.0058322
                  16,            0.050757,            0.015894,                   0,             0.95847,             0.96667,             0.95414,             0.25813,            0.037789,           0.0078827,                   0,            0.039169,           0.0061694,           0.0061694
                  17,            0.062832,             0.01637,                   0,             0.94356,                0.95,             0.92596,              0.1702,            0.041963,           0.0075794,                   0,            0.035503,           0.0065025,           0.0065025
                  18,            0.076401,            0.015872,                   0,              0.8333,             0.68333,             0.82389,             0.30208,            0.036444,           0.0086726,                   0,            0.031832,           0.0068318,           0.0068318
                  19,            0.060596,            0.015961,                   0,             0.68965,             0.74078,             0.74493,             0.26423,            0.034866,           0.0089932,                   0,            0.028157,            0.007157,            0.007157
                  20,            0.049018,            0.016627,                   0,             0.55158,             0.63556,             0.61039,             0.20038,            0.036577,           0.0082977,                   0,            0.024478,           0.0074783,           0.0074783
                  21,            0.053106,            0.016169,                   0,             0.53834,             0.83573,             0.73289,             0.26902,            0.031689,            0.008609,                   0,            0.020796,           0.0077956,           0.0077956
                  22,            0.065563,            0.014492,                   0,             0.71527,             0.66993,             0.83039,             0.34547,            0.030989,           0.0076973,                   0,            0.017109,            0.008109,            0.008109
                  23,            0.058707,            0.015457,                   0,              0.8741,             0.69436,             0.89484,             0.61423,            0.023561,           0.0080637,                   0,            0.013418,           0.0084184,           0.0084184
                  24,            0.063173,            0.019936,                   0,             0.73175,                 0.8,             0.82031,             0.39781,            0.026711,           0.0074836,                   0,           0.0097239,           0.0087239,           0.0087239
                  25,            0.054243,            0.018525,                   0,                   1,             0.81852,             0.96354,             0.73406,            0.024516,            0.006449,                   0,           0.0087625,           0.0087625,           0.0087625
                  26,            0.048369,            0.016168,                   0,             0.99164,                   1,               0.995,             0.33436,            0.028195,           0.0062681,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.048199,            0.013425,                   0,             0.96692,             0.97438,             0.99117,             0.51321,            0.040745,           0.0069031,                   0,            0.008713,            0.008713,            0.008713
                  28,              0.0652,            0.016389,                   0,             0.99532,                   1,               0.995,             0.64015,            0.026547,           0.0062907,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.043259,            0.012777,                   0,             0.89843,             0.96667,              0.9879,             0.76497,            0.029777,           0.0059151,                   0,            0.008614,            0.008614,            0.008614
                  30,             0.06288,            0.013353,                   0,              0.9924,                   1,               0.995,             0.63761,            0.021265,           0.0066527,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.040087,            0.016175,                   0,             0.87982,                   1,             0.99242,             0.67983,            0.016842,           0.0063687,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.039569,            0.014478,                   0,              0.9876,                   1,               0.995,             0.49248,            0.028521,           0.0062089,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.056377,            0.011684,                   0,             0.75751,             0.98925,             0.95712,             0.59707,            0.022841,           0.0058677,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.052971,            0.013469,                   0,             0.92092,                   1,              0.9932,             0.59875,            0.025575,            0.005576,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,             0.05015,            0.011041,                   0,             0.81912,             0.98117,             0.90943,             0.57501,            0.018704,           0.0054514,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.045395,            0.013493,                   0,             0.99335,                   1,               0.995,             0.60433,            0.028832,           0.0072226,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.049617,            0.011965,                   0,             0.99536,                   1,               0.995,              0.5886,            0.026563,           0.0053124,                   0,            0.008218,            0.008218,            0.008218
