               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029488,           0.0074384,                   0,             0.84154,             0.90566,              0.9122,             0.60925,            0.024823,           0.0044298,                   0,              0.0793,              0.0023,              0.0023
                   1,              0.0274,           0.0066101,                   0,             0.88199,             0.93585,             0.95984,             0.64611,            0.022896,           0.0037709,                   0,            0.057677,           0.0046767,           0.0046767
                   2,            0.027438,           0.0059027,                   0,             0.94155,             0.91321,             0.97423,             0.67447,            0.021903,           0.0035278,                   0,             0.03603,           0.0070297,           0.0070297
                   3,            0.028893,           0.0058343,                   0,             0.92565,             0.93968,             0.97797,             0.61912,            0.026686,           0.0036083,                   0,            0.014359,           0.0093589,           0.0093589
                   4,            0.033015,           0.0062438,                   0,             0.88598,             0.87965,             0.93762,             0.52648,            0.028722,           0.0039114,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.031618,           0.0066431,                   0,             0.95641,             0.92453,             0.97563,             0.65823,            0.022339,           0.0035168,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.030332,           0.0061016,                   0,              0.9755,             0.94717,             0.98947,             0.68778,            0.022089,           0.0033717,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.027298,           0.0056506,                   0,             0.98521,             0.94717,             0.99162,             0.71406,            0.022587,           0.0032259,                   0,            0.009703,            0.009703,            0.009703
                   8,              0.0277,           0.0056321,                   0,             0.97517,             0.88921,             0.97847,             0.60261,            0.027049,           0.0037168,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.028548,           0.0056159,                   0,             0.94807,             0.97358,              0.9903,             0.69605,            0.023151,           0.0032966,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.02786,           0.0059757,                   0,             0.95958,             0.92453,             0.98196,              0.6404,            0.024823,           0.0036099,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.029286,           0.0054705,                   0,             0.97011,             0.97971,             0.99096,             0.70496,             0.02162,            0.003233,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.028529,           0.0057416,                   0,             0.96091,             0.98491,              0.9921,             0.67983,             0.02259,           0.0031579,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.029101,           0.0060136,                   0,               0.927,              0.9104,             0.95936,             0.62972,            0.026772,           0.0039894,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.028972,           0.0057152,                   0,             0.95827,             0.95849,             0.98973,             0.72495,            0.021422,            0.003223,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.026634,           0.0059385,                   0,             0.95333,             0.96981,             0.99015,             0.70893,             0.02159,           0.0031492,                   0,            0.009307,            0.009307,            0.009307
                  16,             0.02657,           0.0055309,                   0,             0.97396,             0.96226,             0.99107,              0.7229,            0.020922,           0.0029535,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.027942,           0.0060961,                   0,             0.94908,             0.90566,             0.96889,             0.67796,            0.022326,           0.0037097,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.02839,           0.0051704,                   0,             0.94693,             0.94717,              0.9779,             0.67128,            0.022835,           0.0033434,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.028018,           0.0055624,                   0,             0.96268,             0.81509,             0.92366,             0.61391,            0.027199,           0.0044599,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.026673,           0.0057847,                   0,             0.98827,             0.95378,             0.98905,             0.71778,            0.021816,           0.0033878,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.026815,           0.0048336,                   0,             0.93438,              0.9434,             0.98039,             0.67443,            0.023847,           0.0034352,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.027122,           0.0049344,                   0,             0.96991,             0.97311,               0.991,             0.72285,            0.021438,           0.0031155,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.028416,            0.005609,                   0,             0.96511,             0.93947,             0.98467,             0.71486,            0.021841,           0.0032154,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.026974,           0.0060054,                   0,             0.97012,             0.98113,             0.99174,             0.71142,            0.020687,           0.0030774,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.026287,           0.0054954,                   0,             0.97397,             0.98113,             0.99357,             0.69932,            0.021425,           0.0030546,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.026021,           0.0051092,                   0,             0.98481,             0.97848,             0.99396,             0.76375,            0.018349,           0.0029032,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.027592,           0.0054211,                   0,             0.95887,             0.98113,             0.99085,             0.74063,            0.020008,           0.0029704,                   0,            0.008713,            0.008713,            0.008713
